Kaiserpinguin
Königspinguin
Eselpinguin
Gelbaugenpinguin
Magellanpinguin
Zügel- oder Kehlstreifpinguin
Adéliepinguin 
Humboldtpinguin 
Galápagospinguin
Brillenpinguin
Macaroni- oder Goldschopfpinguin
Haubenpinguin
Felsenpinguin
Kronenpinguin
Dickschnabelpinguin
Snares-Dickschnabelpinguin
Zwergpinguin 
Weißflügelpinguin
